siteCode,SpeciesCode,year,month,count
BG1,NO2,2023,2023_jun,1
BG1,NO2,2023,2023_may,1
BG1,NO2,2024,2024_apr,1
BG1,NO2,2024,2024_aug,1
BG1,NO2,2024,2024_feb,1
BG1,NO2,2024,2024_mar,1
BG1,NO2,2024,2024_sep,1
BG1,NO2,2025,2025_aug,1
BG1,NO2,2025,2025_jun,1
BG1,NO2,2025,2025_nov,1
BG1,NO2,2025,2025_oct,1
BG1,NO2,2025,2025_sep,1
BG1,SO2,2023,2023_feb,1
BG1,SO2,2023,2023_jun,1
BG1,SO2,2023,2023_may,1
BG1,SO2,2024,2024_apr,1
BG1,SO2,2024,2024_dec,1
BG1,SO2,2024,2024_mar,1
BG1,SO2,2024,2024_nov,1
BG1,SO2,2025,2025_aug,1
BG1,SO2,2025,2025_feb,1
BG1,SO2,2025,2025_jan,1
BG1,SO2,2025,2025_jul,1
BG1,SO2,2025,2025_jun,1
BG1,SO2,2025,2025_nov,1
BG1,SO2,2025,2025_oct,1
BG1,SO2,2025,2025_sep,1
BG2,NO2,2023,2023_nov,1
BG2,NO2,2024,2024_aug,1
BG2,NO2,2024,2024_may,1
BG2,NO2,2025,2025_aug,1
BG2,NO2,2025,2025_jul,1
BG2,NO2,2025,2025_jun,1
BG2,NO2,2025,2025_nov,1
BG2,NO2,2025,2025_oct,1
BG2,NO2,2025,2025_sep,1
BG2,PM10,2023,2023_jan,1
BG2,PM10,2024,2024_aug,1
BG2,PM10,2024,2024_sep,1
BG2,PM10,2025,2025_aug,1
BG2,PM10,2025,2025_jul,1
BG2,PM10,2025,2025_jun,1
BG2,PM10,2025,2025_mar,1
BG2,PM10,2025,2025_nov,1
BG2,PM10,2025,2025_sep,1
BL0,CO,2023,2023_apr,1
BL0,CO,2023,2023_aug,1
BL0,CO,2023,2023_dec,1
BL0,CO,2023,2023_feb,1
BL0,CO,2023,2023_jan,1
BL0,CO,2023,2023_jul,1
BL0,CO,2023,2023_jun,1
BL0,CO,2023,2023_mar,1
BL0,CO,2023,2023_may,1
BL0,CO,2023,2023_nov,1
BL0,CO,2023,2023_oct,1
BL0,CO,2023,2023_sep,1
BL0,CO,2024,2024_apr,1
BL0,CO,2024,2024_aug,1
BL0,CO,2024,2024_dec,1
BL0,CO,2024,2024_feb,1
BL0,CO,2024,2024_jan,1
BL0,CO,2024,2024_jul,1
BL0,CO,2024,2024_jun,1
BL0,CO,2024,2024_mar,1
BL0,CO,2024,2024_may,1
BL0,CO,2024,2024_nov,1
BL0,CO,2024,2024_oct,1
BL0,CO,2024,2024_sep,1
BL0,CO,2025,2025_apr,1
BL0,CO,2025,2025_aug,1
BL0,CO,2025,2025_feb,1
BL0,CO,2025,2025_jan,1
BL0,CO,2025,2025_jul,1
BL0,CO,2025,2025_jun,1
BL0,CO,2025,2025_mar,1
BL0,CO,2025,2025_may,1
BL0,CO,2025,2025_nov,1
BL0,CO,2025,2025_oct,1
BL0,CO,2025,2025_sep,1
BL0,NO2,2023,2023_aug,1
BL0,NO2,2023,2023_dec,1
BL0,NO2,2023,2023_nov,1
BL0,NO2,2023,2023_oct,1
BL0,NO2,2023,2023_sep,1
BL0,NO2,2024,2024_apr,1
BL0,NO2,2024,2024_aug,1
BL0,NO2,2024,2024_dec,1
BL0,NO2,2024,2024_feb,1
BL0,NO2,2024,2024_jan,1
BL0,NO2,2024,2024_jul,1
BL0,NO2,2024,2024_jun,1
BL0,NO2,2024,2024_mar,1
BL0,NO2,2024,2024_may,1
BL0,NO2,2024,2024_nov,1
BL0,NO2,2024,2024_oct,1
BL0,NO2,2024,2024_sep,1
BL0,NO2,2025,2025_feb,1
BL0,NO2,2025,2025_jan,1
BL0,NO2,2025,2025_mar,1
BL0,O3,2023,2023_aug,1
BL0,O3,2023,2023_dec,1
BL0,O3,2023,2023_jan,1
BL0,O3,2023,2023_nov,1
BL0,O3,2023,2023_oct,1
BL0,O3,2023,2023_sep,1
BL0,O3,2024,2024_apr,1
BL0,O3,2024,2024_aug,1
BL0,O3,2024,2024_dec,1
BL0,O3,2024,2024_feb,1
BL0,O3,2024,2024_jan,1
BL0,O3,2024,2024_jul,1
BL0,O3,2024,2024_jun,1
BL0,O3,2024,2024_mar,1
BL0,O3,2024,2024_may,1
BL0,O3,2024,2024_nov,1
BL0,O3,2024,2024_oct,1
BL0,O3,2024,2024_sep,1
BL0,O3,2025,2025_feb,1
BL0,O3,2025,2025_jan,1
BL0,O3,2025,2025_mar,1
BL0,PM10,2023,2023_aug,1
BL0,PM10,2023,2023_dec,1
BL0,PM10,2023,2023_nov,1
BL0,PM10,2023,2023_oct,1
BL0,PM10,2023,2023_sep,1
BL0,PM10,2024,2024_apr,1
BL0,PM10,2024,2024_aug,1
BL0,PM10,2024,2024_dec,1
BL0,PM10,2024,2024_feb,1
BL0,PM10,2024,2024_jan,1
BL0,PM10,2024,2024_jul,1
BL0,PM10,2024,2024_jun,1
BL0,PM10,2024,2024_mar,1
BL0,PM10,2024,2024_may,1
BL0,PM10,2024,2024_nov,1
BL0,PM10,2024,2024_oct,1
BL0,PM10,2024,2024_sep,1
BL0,PM10,2025,2025_feb,1
BL0,PM10,2025,2025_jan,1
BL0,PM10,2025,2025_mar,1
BL0,PM2.5,2023,2023_aug,1
BL0,PM2.5,2023,2023_dec,1
BL0,PM2.5,2023,2023_nov,1
BL0,PM2.5,2023,2023_oct,1
BL0,PM2.5,2023,2023_sep,1
BL0,PM2.5,2024,2024_apr,1
BL0,PM2.5,2024,2024_aug,1
BL0,PM2.5,2024,2024_dec,1
BL0,PM2.5,2024,2024_feb,1
BL0,PM2.5,2024,2024_jan,1
BL0,PM2.5,2024,2024_jul,1
BL0,PM2.5,2024,2024_jun,1
BL0,PM2.5,2024,2024_mar,1
BL0,PM2.5,2024,2024_may,1
BL0,PM2.5,2024,2024_nov,1
BL0,PM2.5,2024,2024_oct,1
BL0,PM2.5,2024,2024_sep,1
BL0,PM2.5,2025,2025_feb,1
BL0,PM2.5,2025,2025_jan,1
BL0,PM2.5,2025,2025_mar,1
BL0,SO2,2023,2023_aug,1
BL0,SO2,2023,2023_dec,1
BL0,SO2,2023,2023_mar,1
BL0,SO2,2023,2023_nov,1
BL0,SO2,2023,2023_oct,1
BL0,SO2,2023,2023_sep,1
BL0,SO2,2024,2024_apr,1
BL0,SO2,2024,2024_aug,1
BL0,SO2,2024,2024_dec,1
BL0,SO2,2024,2024_feb,1
BL0,SO2,2024,2024_jan,1
BL0,SO2,2024,2024_jul,1
BL0,SO2,2024,2024_jun,1
BL0,SO2,2024,2024_mar,1
BL0,SO2,2024,2024_may,1
BL0,SO2,2024,2024_nov,1
BL0,SO2,2024,2024_oct,1
BL0,SO2,2024,2024_sep,1
BL0,SO2,2025,2025_feb,1
BL0,SO2,2025,2025_jan,1
BL0,SO2,2025,2025_mar,1
BQ7,NO2,2023,2023_nov,1
BQ7,NO2,2024,2024_aug,1
BQ7,NO2,2025,2025_may,1
BQ7,NO2,2025,2025_oct,1
BQ7,NO2,2025,2025_sep,1
BQ7,O3,2024,2024_aug,1
BQ7,O3,2025,2025_mar,1
BQ7,PM10,2024,2024_apr,1
BQ7,PM10,2024,2024_aug,1
BQ7,PM10,2024,2024_jul,1
BQ7,PM10,2024,2024_oct,1
BQ7,PM10,2024,2024_sep,1
BQ7,PM2.5,2024,2024_apr,1
BQ7,PM2.5,2024,2024_aug,1
BQ7,PM2.5,2024,2024_jul,1
BQ7,PM2.5,2024,2024_oct,1
BQ7,PM2.5,2024,2024_sep,1
BQ9,PM10,2025,2025_apr,1
BQ9,PM10,2025,2025_sep,1
BQ9,PM2.5,2023,2023_may,1
BQ9,PM2.5,2025,2025_apr,1
BQ9,PM2.5,2025,2025_sep,1
BT4,NO2,2023,2023_nov,1
BT4,NO2,2023,2023_oct,1
BT4,O3,2023,2023_apr,1
BT4,O3,2023,2023_aug,1
BT4,O3,2023,2023_dec,1
BT4,O3,2023,2023_jul,1
BT4,O3,2023,2023_jun,1
BT4,O3,2023,2023_may,1
BT4,O3,2023,2023_nov,1
BT4,O3,2023,2023_oct,1
BT4,O3,2023,2023_sep,1
BT4,O3,2024,2024_apr,1
BT4,O3,2024,2024_aug,1
BT4,O3,2024,2024_dec,1
BT4,O3,2024,2024_feb,1
BT4,O3,2024,2024_jan,1
BT4,O3,2024,2024_jul,1
BT4,O3,2024,2024_jun,1
BT4,O3,2024,2024_mar,1
BT4,O3,2024,2024_may,1
BT4,O3,2024,2024_nov,1
BT4,O3,2024,2024_oct,1
BT4,O3,2024,2024_sep,1
BT4,O3,2025,2025_apr,1
BT4,O3,2025,2025_aug,1
BT4,O3,2025,2025_feb,1
BT4,O3,2025,2025_jan,1
BT4,O3,2025,2025_jul,1
BT4,O3,2025,2025_jun,1
BT4,O3,2025,2025_mar,1
BT4,O3,2025,2025_may,1
BT4,O3,2025,2025_nov,1
BT4,O3,2025,2025_oct,1
BT4,O3,2025,2025_sep,1
BT4,SO2,2023,2023_apr,1
BT4,SO2,2023,2023_aug,1
BT4,SO2,2023,2023_dec,1
BT4,SO2,2023,2023_feb,1
BT4,SO2,2023,2023_jan,1
BT4,SO2,2023,2023_jul,1
BT4,SO2,2023,2023_jun,1
BT4,SO2,2023,2023_mar,1
BT4,SO2,2023,2023_may,1
BT4,SO2,2023,2023_nov,1
BT4,SO2,2023,2023_oct,1
BT4,SO2,2023,2023_sep,1
BT4,SO2,2024,2024_apr,1
BT4,SO2,2024,2024_aug,1
BT4,SO2,2024,2024_dec,1
BT4,SO2,2024,2024_feb,1
BT4,SO2,2024,2024_jan,1
BT4,SO2,2024,2024_jul,1
BT4,SO2,2024,2024_jun,1
BT4,SO2,2024,2024_mar,1
BT4,SO2,2024,2024_may,1
BT4,SO2,2024,2024_nov,1
BT4,SO2,2024,2024_oct,1
BT4,SO2,2024,2024_sep,1
BT4,SO2,2025,2025_apr,1
BT4,SO2,2025,2025_aug,1
BT4,SO2,2025,2025_feb,1
BT4,SO2,2025,2025_jan,1
BT4,SO2,2025,2025_jul,1
BT4,SO2,2025,2025_jun,1
BT4,SO2,2025,2025_mar,1
BT4,SO2,2025,2025_may,1
BT4,SO2,2025,2025_nov,1
BT4,SO2,2025,2025_oct,1
BT4,SO2,2025,2025_sep,1
BT5,PM10,2023,2023_jul,1
BT5,PM10,2025,2025_oct,1
BT5,PM2.5,2023,2023_apr,1
BT5,PM2.5,2023,2023_feb,1
BT5,PM2.5,2023,2023_jan,1
BT5,PM2.5,2023,2023_jun,1
BT5,PM2.5,2023,2023_mar,1
BT5,PM2.5,2023,2023_may,1
BT5,PM2.5,2024,2024_nov,1
BT5,PM2.5,2025,2025_aug,1
BT5,PM2.5,2025,2025_nov,1
BT5,PM2.5,2025,2025_oct,1
BT5,PM2.5,2025,2025_sep,1
BT6,PM10,2024,2024_oct,1
BT6,PM2.5,2023,2023_apr,1
BT6,PM2.5,2023,2023_aug,1
BT6,PM2.5,2023,2023_dec,1
BT6,PM2.5,2023,2023_feb,1
BT6,PM2.5,2023,2023_jan,1
BT6,PM2.5,2023,2023_jul,1
BT6,PM2.5,2023,2023_jun,1
BT6,PM2.5,2023,2023_mar,1
BT6,PM2.5,2023,2023_may,1
BT6,PM2.5,2024,2024_jan,1
BT6,SO2,2023,2023_apr,1
BT6,SO2,2023,2023_aug,1
BT6,SO2,2023,2023_dec,1
BT6,SO2,2023,2023_feb,1
BT6,SO2,2023,2023_jan,1
BT6,SO2,2023,2023_jul,1
BT6,SO2,2023,2023_jun,1
BT6,SO2,2023,2023_mar,1
BT6,SO2,2023,2023_may,1
BT6,SO2,2023,2023_nov,1
BT6,SO2,2023,2023_oct,1
BT6,SO2,2023,2023_sep,1
BT6,SO2,2024,2024_apr,1
BT6,SO2,2024,2024_aug,1
BT6,SO2,2024,2024_dec,1
BT6,SO2,2024,2024_feb,1
BT6,SO2,2024,2024_jan,1
BT6,SO2,2024,2024_jul,1
BT6,SO2,2024,2024_jun,1
BT6,SO2,2024,2024_mar,1
BT6,SO2,2024,2024_may,1
BT6,SO2,2024,2024_nov,1
BT6,SO2,2024,2024_oct,1
BT6,SO2,2024,2024_sep,1
BT6,SO2,2025,2025_apr,1
BT6,SO2,2025,2025_aug,1
BT6,SO2,2025,2025_feb,1
BT6,SO2,2025,2025_jan,1
BT6,SO2,2025,2025_jul,1
BT6,SO2,2025,2025_jun,1
BT6,SO2,2025,2025_mar,1
BT6,SO2,2025,2025_may,1
BT6,SO2,2025,2025_nov,1
BT6,SO2,2025,2025_oct,1
BT6,SO2,2025,2025_sep,1
BT8,PM2.5,2023,2023_apr,1
BT8,PM2.5,2023,2023_aug,1
BT8,PM2.5,2023,2023_feb,1
BT8,PM2.5,2023,2023_jan,1
BT8,PM2.5,2023,2023_jul,1
BT8,PM2.5,2023,2023_jun,1
BT8,PM2.5,2023,2023_mar,1
BT8,PM2.5,2023,2023_may,1
BX1,CO,2023,2023_apr,1
BX1,CO,2023,2023_aug,1
BX1,CO,2023,2023_dec,1
BX1,CO,2023,2023_feb,1
BX1,CO,2023,2023_jan,1
BX1,CO,2023,2023_jul,1
BX1,CO,2023,2023_jun,1
BX1,CO,2023,2023_mar,1
BX1,CO,2023,2023_may,1
BX1,CO,2023,2023_nov,1
BX1,CO,2023,2023_oct,1
BX1,CO,2023,2023_sep,1
BX1,CO,2024,2024_apr,1
BX1,CO,2024,2024_aug,1
BX1,CO,2024,2024_dec,1
BX1,CO,2024,2024_feb,1
BX1,CO,2024,2024_jan,1
BX1,CO,2024,2024_jul,1
BX1,CO,2024,2024_jun,1
BX1,CO,2024,2024_mar,1
BX1,CO,2024,2024_may,1
BX1,CO,2024,2024_nov,1
BX1,CO,2024,2024_oct,1
BX1,CO,2024,2024_sep,1
BX1,CO,2025,2025_apr,1
BX1,CO,2025,2025_aug,1
BX1,CO,2025,2025_feb,1
BX1,CO,2025,2025_jan,1
BX1,CO,2025,2025_jul,1
BX1,CO,2025,2025_jun,1
BX1,CO,2025,2025_mar,1
BX1,CO,2025,2025_may,1
BX1,CO,2025,2025_nov,1
BX1,CO,2025,2025_oct,1
BX1,CO,2025,2025_sep,1
BX1,NO2,2023,2023_dec,1
BX1,NO2,2024,2024_aug,1
BX1,NO2,2024,2024_jul,1
BX1,NO2,2024,2024_nov,1
BX1,NO2,2025,2025_apr,1
BX1,NO2,2025,2025_mar,1
BX1,NO2,2025,2025_may,1
BX1,O3,2025,2025_may,1
BX1,PM10,2023,2023_apr,1
BX1,PM10,2023,2023_aug,1
BX1,PM10,2023,2023_dec,1
BX1,PM10,2023,2023_feb,1
BX1,PM10,2023,2023_jan,1
BX1,PM10,2023,2023_jul,1
BX1,PM10,2023,2023_jun,1
BX1,PM10,2023,2023_mar,1
BX1,PM10,2023,2023_may,1
BX1,PM10,2023,2023_nov,1
BX1,PM10,2023,2023_oct,1
BX1,PM10,2023,2023_sep,1
BX1,PM10,2024,2024_apr,1
BX1,PM10,2024,2024_aug,1
BX1,PM10,2024,2024_dec,1
BX1,PM10,2024,2024_feb,1
BX1,PM10,2024,2024_jan,1
BX1,PM10,2024,2024_jul,1
BX1,PM10,2024,2024_jun,1
BX1,PM10,2024,2024_mar,1
BX1,PM10,2024,2024_may,1
BX1,PM10,2024,2024_nov,1
BX1,PM10,2024,2024_oct,1
BX1,PM10,2024,2024_sep,1
BX1,PM10,2025,2025_apr,1
BX1,PM10,2025,2025_aug,1
BX1,PM10,2025,2025_feb,1
BX1,PM10,2025,2025_jan,1
BX1,PM10,2025,2025_jul,1
BX1,PM10,2025,2025_jun,1
BX1,PM10,2025,2025_mar,1
BX1,PM10,2025,2025_may,1
BX1,PM10,2025,2025_nov,1
BX1,PM10,2025,2025_oct,1
BX1,PM10,2025,2025_sep,1
BX1,SO2,2024,2024_jul,1
BX1,SO2,2024,2024_jun,1
BX1,SO2,2025,2025_sep,1
BX2,NO2,2025,2025_nov,1
BX2,PM10,2024,2024_nov,1
BX2,PM10,2025,2025_may,1
BX2,PM2.5,2024,2024_nov,1
BX2,PM2.5,2025,2025_may,1
BY7,CO,2023,2023_apr,1
BY7,CO,2023,2023_aug,1
BY7,CO,2023,2023_dec,1
BY7,CO,2023,2023_feb,1
BY7,CO,2023,2023_jan,1
BY7,CO,2023,2023_jul,1
BY7,CO,2023,2023_jun,1
BY7,CO,2023,2023_mar,1
BY7,CO,2023,2023_may,1
BY7,CO,2023,2023_nov,1
BY7,CO,2023,2023_oct,1
BY7,CO,2023,2023_sep,1
BY7,CO,2024,2024_apr,1
BY7,CO,2024,2024_aug,1
BY7,CO,2024,2024_dec,1
BY7,CO,2024,2024_feb,1
BY7,CO,2024,2024_jan,1
BY7,CO,2024,2024_jul,1
BY7,CO,2024,2024_jun,1
BY7,CO,2024,2024_mar,1
BY7,CO,2024,2024_may,1
BY7,CO,2024,2024_nov,1
BY7,CO,2024,2024_oct,1
BY7,CO,2024,2024_sep,1
BY7,CO,2025,2025_apr,1
BY7,CO,2025,2025_aug,1
BY7,CO,2025,2025_feb,1
BY7,CO,2025,2025_jan,1
BY7,CO,2025,2025_jul,1
BY7,CO,2025,2025_jun,1
BY7,CO,2025,2025_mar,1
BY7,CO,2025,2025_may,1
BY7,CO,2025,2025_nov,1
BY7,CO,2025,2025_oct,1
BY7,CO,2025,2025_sep,1
BY7,NO2,2023,2023_dec,1
BY7,NO2,2023,2023_jan,1
BY7,NO2,2024,2024_jun,1
BY7,NO2,2024,2024_may,1
BY7,PM10,2023,2023_may,1
BY7,PM10,2024,2024_may,1
BY7,PM10,2025,2025_apr,1
BY7,PM10,2025,2025_jul,1
BY7,PM10,2025,2025_jun,1
BY7,PM10,2025,2025_mar,1
BY7,PM10,2025,2025_may,1
BY7,PM10,2025,2025_sep,1
BY7,PM2.5,2023,2023_jan,1
BY7,PM2.5,2023,2023_mar,1
BY7,PM2.5,2024,2024_jun,1
BY7,PM2.5,2024,2024_may,1
BY7,PM2.5,2025,2025_nov,1
CD1,NO2,2023,2023_apr,1
CD1,NO2,2023,2023_aug,1
CD1,NO2,2023,2023_dec,1
CD1,NO2,2023,2023_feb,1
CD1,NO2,2023,2023_jan,1
CD1,NO2,2023,2023_mar,1
CD1,NO2,2023,2023_may,1
CD1,NO2,2023,2023_nov,1
CD1,NO2,2023,2023_oct,1
CD1,NO2,2023,2023_sep,1
CD1,PM10,2023,2023_apr,1
CD1,PM10,2023,2023_aug,1
CD1,PM10,2023,2023_dec,1
CD1,PM10,2023,2023_feb,1
CD1,PM10,2023,2023_jan,1
CD1,PM10,2023,2023_jul,1
CD1,PM10,2023,2023_mar,1
CD1,PM10,2023,2023_may,1
CD1,PM10,2023,2023_nov,1
CD1,PM10,2023,2023_oct,1
CD1,PM10,2023,2023_sep,1
CD1,PM10,2024,2024_jul,1
CD1,PM10,2025,2025_feb,1
CD1,PM2.5,2023,2023_apr,1
CD1,PM2.5,2023,2023_aug,1
CD1,PM2.5,2023,2023_dec,1
CD1,PM2.5,2023,2023_feb,1
CD1,PM2.5,2023,2023_jan,1
CD1,PM2.5,2023,2023_jul,1
CD1,PM2.5,2023,2023_mar,1
CD1,PM2.5,2023,2023_may,1
CD1,PM2.5,2023,2023_nov,1
CD1,PM2.5,2023,2023_oct,1
CD1,PM2.5,2023,2023_sep,1
CD1,PM2.5,2024,2024_jul,1
CE2,NO2,2023,2023_jan,1
CE2,NO2,2024,2024_dec,1
CE2,NO2,2024,2024_may,1
CE2,NO2,2024,2024_nov,1
CE2,NO2,2024,2024_oct,1
CE2,NO2,2024,2024_sep,1
CE2,O3,2023,2023_jan,1
CE2,O3,2023,2023_jul,1
CE2,O3,2023,2023_jun,1
CE2,O3,2023,2023_nov,1
CE2,O3,2023,2023_oct,1
CE2,O3,2024,2024_may,1
CE2,O3,2024,2024_oct,1
CE2,O3,2024,2024_sep,1
CE2,O3,2025,2025_apr,1
CE2,O3,2025,2025_jul,1
CE2,O3,2025,2025_jun,1
CE2,O3,2025,2025_mar,1
CE2,O3,2025,2025_may,1
CE2,PM10,2023,2023_jan,1
CE2,PM10,2024,2024_aug,1
CE2,PM10,2024,2024_may,1
CE2,PM10,2024,2024_oct,1
CE2,PM10,2024,2024_sep,1
CE2,PM2.5,2023,2023_jan,1
CE2,PM2.5,2023,2023_jul,1
CE2,PM2.5,2024,2024_aug,1
CE2,PM2.5,2024,2024_may,1
CE2,PM2.5,2024,2024_oct,1
CE2,PM2.5,2024,2024_sep,1
CE3,NO2,2023,2023_jan,1
CE3,NO2,2023,2023_jul,1
CE3,NO2,2023,2023_may,1
CE3,NO2,2024,2024_apr,1
CE3,NO2,2024,2024_aug,1
CE3,NO2,2024,2024_dec,1
CE3,NO2,2024,2024_jul,1
CE3,NO2,2024,2024_jun,1
CE3,NO2,2024,2024_may,1
CE3,NO2,2024,2024_nov,1
CE3,NO2,2024,2024_oct,1
CE3,NO2,2024,2024_sep,1
CE3,NO2,2025,2025_aug,1
CE3,NO2,2025,2025_feb,1
CE3,NO2,2025,2025_jan,1
CE3,NO2,2025,2025_jul,1
CE3,NO2,2025,2025_jun,1
CE3,NO2,2025,2025_sep,1
CE3,PM10,2023,2023_jan,1
CE3,PM10,2024,2024_apr,1
CE3,PM10,2024,2024_aug,1
CE3,PM10,2024,2024_dec,1
CE3,PM10,2024,2024_jul,1
CE3,PM10,2024,2024_jun,1
CE3,PM10,2024,2024_may,1
CE3,PM10,2024,2024_nov,1
CE3,PM10,2024,2024_oct,1
CE3,PM10,2024,2024_sep,1
CE3,PM10,2025,2025_feb,1
CE3,PM10,2025,2025_jan,1
CE3,PM10,2025,2025_nov,1
CE3,PM2.5,2023,2023_jan,1
CE3,PM2.5,2024,2024_apr,1
CE3,PM2.5,2024,2024_aug,1
CE3,PM2.5,2024,2024_dec,1
CE3,PM2.5,2024,2024_jul,1
CE3,PM2.5,2024,2024_jun,1
CE3,PM2.5,2024,2024_may,1
CE3,PM2.5,2024,2024_nov,1
CE3,PM2.5,2024,2024_oct,1
CE3,PM2.5,2024,2024_sep,1
CE3,PM2.5,2025,2025_feb,1
CE3,PM2.5,2025,2025_jan,1
CE3,PM2.5,2025,2025_nov,1
CR5,NO2,2024,2024_mar,1
CR5,NO2,2024,2024_may,1
CR5,NO2,2025,2025_mar,1
CR7,NO2,2023,2023_feb,1
CR7,NO2,2023,2023_jan,1
CR7,NO2,2023,2023_mar,1
CR7,NO2,2024,2024_dec,1
CR7,NO2,2025,2025_feb,1
CR7,NO2,2025,2025_jan,1
CR7,NO2,2025,2025_mar,1
CR8,PM2.5,2023,2023_jul,1
CR8,PM2.5,2024,2024_dec,1
CR8,PM2.5,2024,2024_may,1
CR8,PM2.5,2025,2025_apr,1
CR8,PM2.5,2025,2025_aug,1
CR8,PM2.5,2025,2025_jul,1
CR8,PM2.5,2025,2025_jun,1
CR8,PM2.5,2025,2025_mar,1
CR8,PM2.5,2025,2025_may,1
CR8,PM2.5,2025,2025_nov,1
CR8,PM2.5,2025,2025_oct,1
CR8,PM2.5,2025,2025_sep,1
CR9,NO2,2023,2023_apr,1
CR9,NO2,2023,2023_aug,1
CR9,NO2,2023,2023_dec,1
CR9,NO2,2023,2023_feb,1
CR9,NO2,2023,2023_jan,1
CR9,NO2,2023,2023_jul,1
CR9,NO2,2023,2023_jun,1
CR9,NO2,2023,2023_mar,1
CR9,NO2,2023,2023_may,1
CR9,NO2,2023,2023_nov,1
CR9,NO2,2023,2023_oct,1
CR9,NO2,2023,2023_sep,1
CR9,NO2,2024,2024_apr,1
CR9,NO2,2024,2024_aug,1
CR9,NO2,2024,2024_dec,1
CR9,NO2,2024,2024_feb,1
CR9,NO2,2024,2024_jan,1
CR9,NO2,2024,2024_jul,1
CR9,NO2,2024,2024_jun,1
CR9,NO2,2024,2024_mar,1
CR9,NO2,2024,2024_may,1
CR9,NO2,2024,2024_nov,1
CR9,NO2,2024,2024_oct,1
CR9,NO2,2024,2024_sep,1
CR9,NO2,2025,2025_apr,1
CR9,NO2,2025,2025_aug,1
CR9,NO2,2025,2025_feb,1
CR9,NO2,2025,2025_jan,1
CR9,NO2,2025,2025_jul,1
CR9,NO2,2025,2025_jun,1
CR9,NO2,2025,2025_mar,1
CR9,NO2,2025,2025_may,1
CR9,NO2,2025,2025_nov,1
CR9,NO2,2025,2025_oct,1
CR9,NO2,2025,2025_sep,1
CR9,PM10,2023,2023_apr,1
CR9,PM10,2023,2023_aug,1
CR9,PM10,2023,2023_dec,1
CR9,PM10,2023,2023_feb,1
CR9,PM10,2023,2023_jan,1
CR9,PM10,2023,2023_jul,1
CR9,PM10,2023,2023_jun,1
CR9,PM10,2023,2023_mar,1
CR9,PM10,2023,2023_may,1
CR9,PM10,2023,2023_nov,1
CR9,PM10,2023,2023_oct,1
CR9,PM10,2023,2023_sep,1
CR9,PM10,2024,2024_apr,1
CR9,PM10,2024,2024_aug,1
CR9,PM10,2024,2024_dec,1
CR9,PM10,2024,2024_feb,1
CR9,PM10,2024,2024_jan,1
CR9,PM10,2024,2024_jul,1
CR9,PM10,2024,2024_jun,1
CR9,PM10,2024,2024_mar,1
CR9,PM10,2024,2024_may,1
CR9,PM10,2024,2024_nov,1
CR9,PM10,2024,2024_oct,1
CR9,PM10,2024,2024_sep,1
CR9,PM10,2025,2025_apr,1
CR9,PM10,2025,2025_aug,1
CR9,PM10,2025,2025_feb,1
CR9,PM10,2025,2025_jan,1
CR9,PM10,2025,2025_jul,1
CR9,PM10,2025,2025_jun,1
CR9,PM10,2025,2025_mar,1
CR9,PM10,2025,2025_may,1
CR9,PM10,2025,2025_nov,1
CR9,PM10,2025,2025_oct,1
CR9,PM10,2025,2025_sep,1
CW3,NO2,2023,2023_dec,1
CW3,NO2,2025,2025_nov,1
CW3,PM10,2024,2024_aug,1
CW3,PM10,2024,2024_dec,1
CW3,PM10,2024,2024_jul,1
CW3,PM10,2024,2024_oct,1
CW3,PM10,2024,2024_sep,1
CW3,PM10,2025,2025_jan,1
CW3,PM10,2025,2025_nov,1
CW3,PM2.5,2024,2024_aug,1
CW3,PM2.5,2024,2024_dec,1
CW3,PM2.5,2024,2024_jul,1
CW3,PM2.5,2024,2024_oct,1
CW3,PM2.5,2024,2024_sep,1
CW3,PM2.5,2025,2025_jan,1
CW3,PM2.5,2025,2025_nov,1
EA6,NO2,2024,2024_jul,1
EA6,NO2,2025,2025_feb,1
EA6,NO2,2025,2025_jan,1
EA6,PM10,2023,2023_oct,1
EA6,PM10,2024,2024_dec,1
EA6,PM10,2024,2024_jul,1
EA6,PM10,2024,2024_nov,1
EA6,PM10,2025,2025_apr,1
EA6,PM10,2025,2025_feb,1
EA6,PM10,2025,2025_jan,1
EA6,PM10,2025,2025_jul,1
EA6,PM10,2025,2025_mar,1
EA6,PM10,2025,2025_sep,1
EA8,NO2,2024,2024_aug,1
EA8,NO2,2025,2025_aug,1
EA8,PM10,2023,2023_jan,1
EA8,PM10,2024,2024_jul,1
EI1,NO2,2023,2023_aug,1
EI1,NO2,2024,2024_jul,1
EI1,PM10,2024,2024_feb,1
EI1,PM10,2024,2024_jan,1
EI1,PM10,2024,2024_jun,1
EI1,PM10,2025,2025_apr,1
EI1,PM10,2025,2025_aug,1
EI1,PM10,2025,2025_jul,1
EI1,PM10,2025,2025_jun,1
EI1,PM10,2025,2025_mar,1
EI1,PM10,2025,2025_nov,1
EI1,PM10,2025,2025_oct,1
EI1,PM10,2025,2025_sep,1
EI8,PM10,2023,2023_dec,1
EI8,PM10,2024,2024_aug,1
EI8,PM10,2024,2024_jan,1
EI8,PM10,2024,2024_jul,1
EI8,PM10,2024,2024_jun,1
EI8,PM10,2025,2025_mar,1
EI8,PM10,2025,2025_nov,1
EN4,NO2,2023,2023_jul,1
EN4,NO2,2023,2023_jun,1
EN4,NO2,2025,2025_nov,1
